date,hour,activity,workout,keywords,time,i0,i1,i2,i3,i4,i5,distance(km),climb(m),intensity,t-intensity,ahr,mhr,controls,spiked,rhr,sleep,weight(kg),injured,sick,restday,shoes,route,description,private note
2011-09-20,21,Orienteering,,night,00:40:41,,,,00:40:41,,,5.1,,3.0,,,,,,,,,,,,VJ Bold,,"Espoorastien yöversio. Oli taas hiukkasen paljon asioita mielessä eikä keskittymisestä tullut mitään. Jalka tuli kanssa kovin kipeäksi, mutta ihan hyvä eka yötreeni. Silmät tottui jo loppumatkasta karttaan. Yks isompi pöllöily mäen päällä. Syytän siitä karttaa kuten yleensä.",
2011-09-20,19,cycling,,,01:25:00,,01:25:00,,,,,35.0,,1.0,,,,,,,,,,,,Bike: Rossano_9speed,,Todella hiljaista ajelua kisapaikalle ja sieltä kierrellen kotia,
2011-09-21,8,Hieronta - massage,,,01:15:00,,01:15:00,,,,,,,1.0,,,,,,,,,,,,,,"Hierojaopistolla vähän pidempi käsittely. Eipä siinä mitään, peitinkalvo kiristää ja tuolla lonkan paikkeilla on jumeja. mitään diagnostista läpimurtoa ei tullut, mutta ongelma on nyt ainakin paikantunut pohkeesta ylöspäin. Lienee lopulta päässä.",
2011-09-22,20,cycling,,,01:10:00,,,,01:10:00,,,30.1,,3.0,,,,,,,9.00,,,,,Bike: Rossano_9speed,,Iltalenkki hiilarimiehen kanssa. Yleiskunto vaisu. Varmaan mykoplasma.,
2011-09-23,,Yoga,,,00:55:00,,,,00:55:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"duunijooga ohjaten. ihan hyvä, vaikka tauon jälkeen taas teki kipeää",
2011-09-24,9,Yoga,,,00:00:50,,,,00:00:50,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,äänipää-jooga päivän alkuun,
2011-09-24,9,Running,,,00:25:00,,,,00:25:00,,,4.0,,3.0,,,,,,,,,,,,Merrel gore,,Saunalenkki. Jalka tuli hemmetin kipeäksi vaikka kyyti oli verkkaista. ihme vaiva.,
2011-09-27,,Orienteering,,night,00:40:23,,,,,,00:40:23,4.7,,5.0,,,,,,,,,,,,VJ Bold -11,,"Yörastit Mikkelässä. Vartti pummia ekalla viidellä, ei sekuntiakaan viimesellä seittemällä. KESKITTYMINEN!!!!!!!!!!
Jalka tuli kipeäksi, mutta ei haitannu vetelyä. Ihime vaiva.",
2011-09-30,20,Running,,,00:10:00,,,,00:10:00,,,2.0,,3.0,,,,,,,,,,,,VJ Bold -11,,"Verryttelyt lähtöpaikalle. ilta oli lämmin ja milan valo kirkas. Jalkaa tunnustellen, mitenkäs muuten näin reilun parinsadan vammapäivän jälkeen.",
2011-09-30,21,Orienteering,,night,00:54:10,,,,00:54:10,,,6.1,,3.0,,,,,,,,,,,,VJ Bold -11,,"SM-yön karsinta. Yksinäinen veto, mutta siksi ehkä melko puhdas. Ykköselle kaarros, mutta sitten haltuun homma. Levykompassi oikeassa kädessä ja rannekompassi vasemmassa. Ja milassa pitkät päällä. Kulkukelpoisuus vaativa, mutta a-finaalipaikka ekaa kertaa miesten sarjassa oli tosiasia!?! Ens vuonna joka kisassa.

Jalka tuli kipeäksi, mutta kakkosrastilta lähtiessä kompuroidessa kylki otti osumaa. (liukastuin ja putosin kallioon oikealle persposkelle ja kyljessä jokin rusahti. Vaivasi kisan ajan, muttei hidastanut.",
2011-09-30,23,foamroller,,,00:15:00,,,00:15:00,,,,,,2.0,,,,,,,,,,,,,,Hyvät rullailut Juhalla. Huomio luonnollisesti pakaroissa.,
2011-10-01,,Note,,,,,,,,,,,,,,,,,,,,,1,1,,,,"Lauantaiaamu valkeni kylkikivun säkenöihin. Illan foamrolleroinnit otti kipeää, muttei tällä tavalla. Nyt ei puhettakaan juoksemisesta illalla. Hyvä että saa vaatteet päälle.",
2011-10-02,,Note,,,,,,,,,,,,,,,,,,,,,1,1,,,,Kylkikipu ja lentsu päällä. niistäminen ottaa kipeää. Autonkyyti yhtä helevettiä kun tärisee. Viittaa katkenneisiin kylkiluihin. A-finaali olisi ollut kuolemaksi.,
2011-10-03,,Note,,,,,,,,,,,,,,,,,,,12.00,,1,1,,,,"12 tuntia unta, kylki paskana ja kuumetta. Ei saakeli. Yks kuuden kilsan suunnistus perjantaina eikä puhettakaan että vois mennä maanantaina töihin. Pakko ois pystyä harjoittelemaan kun pystymettästä lähtemisestä tulee tällaiset seuraamukset. Kylki on kuin Heleniuksen pieksemä.",
2011-10-30,8,Running,,,00:20:00,,,,00:20:00,,,3.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Aamulenkki laululeirillä. Sappeen maisemissa. Rinne alas ja hissutellen ylös. Melko heikkoa menoa.,
2011-11-01,,Running,,,00:20:00,,,,00:20:00,,,4.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,iltalenkki. Jalat törkeän kipeät sunnuntaiaamun lenkistä. Vähän hissuttelin. Voi että tuntu mukavalta juosta syssysessä messäsä.,
2011-11-05,10,cycling,,,02:02:00,,,,02:02:00,,,62.0,,3.0,,,,,,,,,,,,Bike: Rossano_9speed,,"Raatojuoksua kattomassa Sipoossa. Eka lenkki pitkään aikaan. Oli vähän hankalaa pitää kovaa vauhtia yllä, mutta teki eetvarttia, kerrassaan.",
2011-11-06,18,Yoga,,,01:05:00,,,,01:05:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Ah, joogaaa! Ekaa kertaa sitten SM-yön ja taisi sitä ennenkin olla viikko pari taukoa. Otin todella lempeästi, mutta järkyttävät lihaskivut on taas tiedossa. Kylki tuntui parissa asanassa, mutta vain tuntui. Tästä lähtee.

Takareisi kiristi taas aikaisempaa enemmän. kuuden viikon levon jälkeen. Nyt joogaan sen kuntoon. Perseellään istuessa se näyttää vaan pahenevan. Niinku ihan kaikki asiat elämässä.. ;)",
2011-11-10,17,Yoga,,,01:15:00,,,,,01:15:00,,,,4.0,,,,,,,,,,,,barefoot - avojaloin,,Lihaskivuilta pääsin taas joogaan. hyvä harjoitus. Kylki ei juuri tunnu.,
2011-11-12,11,cycling,,,03:46:24,,,,03:46:24,,,88.54,,3.0,,,,,,,,,,,,Bike: Rossano_9speed,,"vähän pidempi rullailu hiilarimiehen kanssa. Vauhti oli hidasta, mutta silti loppu eväät 60 kilsan kohdalla. Lidlistä croissantti ja matka jatkui. Näitä pitäis tehdä, kelit alkaa olla turhan kylmät.

http://muuankarski.org/suunnistus/kartat/gps/hyryla.jpg",
2011-11-17,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Iltajooga Annankadulla. Hyvä harjoitus,
2011-11-18,15,Yoga,,,00:55:00,,,,00:55:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,instituuttijoogan vetohommat. Hyvät hikiset jumpat ittelle ,
2011-11-19,15,Yoga,,,00:45:00,,,,00:45:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Äänipää-joogat aamutuimaan Vimpelin Lakeaharjulla. Huippumaaston keskellä, mutta en juuri mökistä pihalle astunut.",
2011-11-20,19,Running,,,00:15:00,,,,00:15:00,,,3.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,Pitkän ja piinaavan automatkan päätteeksi vähän jaloittelua. Ehkä kokeilen kuntouttaa takareittä tällasilla lyhyillä jolkotuksilla. josko siinä takareisi antaisi periksi. nyt ei tuntunut ollenkaan.,
2011-11-21,19,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,9.00,,,,,barefoot - avojaloin,,Voimakas iltajooga. Hyviä vinkkejä ja ohjausta kovalla kädellå. Taas tuntuu huomenna,
2011-11-24,7,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,7.00,,,,,barefoot - avojaloin,,Kauden eka aamujooga. Oli se koettelemus nousta ja tykittää kaupungin läpi kamppiin Mila päässä. Mutta kannatti.,
2011-11-24,7,Running,,,00:20:00,,,,00:20:00,,,4.0,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Urbaani iltalenkki. Garmin ei löydä satelliitteja täällä kivikaupungissa helpolla. Mäkelänrinteen kentällä viimein.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/130702406'></iframe>",
2011-11-25,15,Yoga,,,01:00:00,,,,01:00:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Instituuttijooga. Tahti reipastuu kun porukka oppii muuvit.,
2011-11-25,,climbing,,,00:30:00,,,,00:30:00,,,,,3.0,,,,,,,,,,,,,,"Sisäkiipeilyä tyyliin boulderointi. Oltiin siellä hallilla pari tuntia, mutta ei näillä kätösillä kovin pitkään riiputtu. iltapäivän jooga krampitti takareisiä, mutta onhan tuo mukavaa puuhaa. Mutta on sitä paska.",
2011-11-26,17,cycling,,,00:34:00,,,,,00:34:00,,14.0,,4.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"Cyclocrosshurjastelua Vanhankaupunginlahden ympäri. Pimeässä vaan Mila säihkyi ja uudet ketjut surrasi. Paikoin oma puuskutus ylitti ketjun surinan. Hyvä treeni, huomenna jotain pidempää jos pikkujoulut ei mee pitkäks.

<iframe width='470' height='550' frameborder='0' src='http://connect.garmin.com:80/activity/embed/131007067'></iframe>",
2011-11-27,,cycling,,,00:20:00,,,,00:20:00,,,6.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"Vaihdoin Rossanoon kyllä välityksen 39*16, mutta en tehnyt siitä uutta jalkinetta. Pikkujoulua enemmän harjoittelun esteenä oli raju vesisade. Pyöräily kun on ainoa ulkoilumuoto tällä hetkellä, niin ei ollu lähtemään kun vasta illalla. Heikko esitys",
2011-11-29,16,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,9.00,,,,,,,Perustekemistä.,
2011-12-01,18,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"joogaa. Aika hyvin lähti yhdellä välipäivällä. Takareisi kiristää, mutta ehkä helpottamaan päin. tosin eilisen kaltaiset non-stop 14.5 tunnin istumatyöpäivät ei tilannetta paranna. Raktorillakin jos ajais niin pitäis ainakin välillä nousta tankkaamaan.",
2011-12-02,,climbing,,,00:40:00,,,,00:40:00,,,,,3.0,,,,,,,,,,,,,,kiipeilyä ja kahvakuulailua luolalla. ei sujunut pätkän vertaa paremmin kuin viikko sitten. sormet on niin voimattomat etten voi kuvata harjoitusta tämän yksityiskohtaisemmin,
2011-12-03,,cycling,,,01:28:00,,,,01:28:00,,,33.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"lauantain pidempi rälläys. Ei kyllä kulkenut yhtään, mutta oli siistejä paikkoja ja luojan kiitos ei tarvinnut mennä kehä III:n ulkopuolelle. Pikitiet jäässä, mutta sorapolut mahtavan rapsakkoja. Sessejä oli taas liikkeellä enemmän kun vetelissä kettuja. Oisko jo nahotuksen aika.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/132369814'></iframe>",
2011-12-04,,Yoga,,,01:25:00,,,,01:25:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,iltapäiväjooga. Yksi parhaista harjoituksista ikinä. Alkaa energiat virrata kuin milassa SM-yön karsinnassa. Uh uh.,
2011-12-06,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Itsenäisyyspäivän jooga. Vasemman käden ojentaja vähän kiukutteli alapäästä. Joutu varomaan ja paras fiilis meni harjoituksesta. Sitten kattomaan ku homot tanssii.,
2011-12-07,,Running,,,00:20:30,,,,00:20:30,,,4.6,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Pyöräcrossi oli suunnitelmissa, mutta töistä lähtiessä oli kumi tussu. Eikun ratas irti, bussiin ja lenkkarit jalkaan. Mitään nastakenkiä ei ollut, mutta onneksi on sen verran reserviä että joutaa vähän sutia. Otin gps:n ajasta vähän pois kun pari minuuttia etin sopivaa tiskiainetta alepassa.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/133233428'></iframe>",
2011-12-08,,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,iltapäiväharjoitus hölkästä jäykistyneellä kropalla. Joko juoksu on terveydelle haitallista tai sitten pitäisi juosta useammin. Tuossa kyllä huomaa kun on stiff to the bones. Vasen ojentaja ilmoitteli itsestään alussa.,
2011-12-09,,Yoga,,,00:58:00,,,,00:58:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Töissä joogaa. Hyvä harjoitus tähän keliin.,
2011-12-10,16,cycling,,,00:20:00,,,,00:20:00,,,8.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,Ripeä hikiajelu Punavuoreen,
2011-12-10,17,Running,,,00:42:10,,,,00:42:10,,,7.7,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Äänipää-hölkkä ennen webbisivutalkoita. Nää laulajat juoksee kovempaa ku suunnistajat, perhana.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/133773814'></iframe>",
2011-12-11,20,cycling,,,00:32:00,,,,00:32:00,,,13.0,,3.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"Peruslenkki leudossa joulukuisessa illassa. Tulossa niiin kova treeniviikko, että piti himmailla sunnuntailenkin kanssa. Ehti sitten tekemään töitä paremmin.",
2011-12-12,7,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,5.50,,,,,barefoot - avojaloin,,"Räkä Räisäsen intensiivi alkoi. Ai että mikä treeni.

<iframe width='199' height='276' frameborder='0' src='http://www.petriraisanen.com/midsummer/images/petri2.jpg'></iframe>


",
2011-12-12,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,"Vetun foorumi ei pelaa, niin tänne eka yhteenveto vetun kovien pyssyjen viime kauden treeneistä. Klikkaa kuva suuremmaksi

<iframe width='600' height='300' frameborder='0' src='http://www.suunnistus.muuankarski.org/images/fbfiles/images/Rplot03.png'></iframe>


<iframe width='600' height='300' frameborder='0' src='http://www.suunnistus.muuankarski.org/images/fbfiles/images/Rplot05.png'></iframe>

",
2011-12-13,7,Yoga,,,01:20:00,,,,01:20:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Ja viikon toinen kova harjoitus. Jäykkää oli mutta sieltä se vaan lähti

<iframe width='199' height='276' frameborder='0' src='http://www.ashtangabook.com/images/gallery/ardhaBaddhaPadma.jpg'></iframe>

",
2011-12-13,18,cycling,,,00:35:00,,,00:35:00,,,,16.0,,2.0,,,,,,,,,,,,Bike: Rossano-fixed gear42*16,,"ilta-ajelua keskuspuistossa ja suunnistavan uudenmaan testijuoksun valokuvaamista. hämärässä ei valovoima riittänyt nopeimpii, mutta onneksi mukana oli juoksijoita jotka sai pysähtymään pidemmälläkin suljinajalla.",
2011-12-13,,Note,,,,,,,,,,,,,,,,,,,,,1,,,,,"Viime viikkojen kovasta tietotyörupeamasta johtuen on nyt käsi kantositeessä. Oikean olkapää takaa hermo jomottaa ja pienikin hienomotorinen suoríte polttaa. Tämäkin vielä, perhana",
2011-12-15,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Ei pitäis pitää välipäiviä. Oli aika ankia harjoitus. Jääkylmää vettä eka taivaalta pyörämatkalla ja sitten vielä suihkusta. Mutta näin jälkeen tietty upia olo. Käsi on kipeä, muttei tunnun voimistellessa, vain näppis+hiiri-jutuissa.

<iframe width='199' height='276' frameborder='0' src='http://www.ashtangabook.com/images/gallery/sirsasana.jpg'></iframe>

",
2011-12-16,7,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Ja viimeinen harjoitus taas vähän paremmin. Kylmässä kaatosateessa aamulla paikalle. Karu on stadin talvi

<iframe width='199' height='276' frameborder='0' src='http://www.ashtangabook.com/images/gallery/flyingSaucer.jpg'></iframe>",
2011-12-17,20,Running,,,00:32:00,,,,00:32:00,,,6.5,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"iltalenkki kaatosateessa. ei kehumista, jooga tuntuu jäsenissä. ja olkapää ärtyy juoksusta.",
2012-01-17,19,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Paluu harjoitteluun. Oikeastaan totaalitaukoa sitten joulun. Arkipyöräilyn aloitin viime viikolla ja uimassa ja tanssikursseilla on tullut käytyä. Mutta tänään ekaa kertaa hikiliikuntaa. Kurkku vielä vähän kipeä, mutta voimat palautuneet. Olkapää vaivaa edelleen. Liityin avantouintiklubiin. Alkaa olla kaikki hörhöilyt jo käytössä.",
2012-01-20,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Liityin avantouintiklubiin ja ekat sessiot. Uskalsin. Tämä on tärkeä taito kevään kisoissa.,
2012-01-21,14,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Tiistain jälkeen antoi lihaskivut taas periksi. Hyvä harjoitus. Tämä taas tästä.,
2012-01-21,14,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,79.6,,,,barefoot - avojaloin,,Avantouinti lauantaitöiden päätteeksi. 3*saunan kans.,
2012-01-22,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,80.2,,,,,,,
2012-01-23,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,78.6,,,,,,Tuli ajeltua pyörällä semmonen vajaa kakskymppiä arkiasioita hoitaessa tuolla kinoksissa niin varmaan hikoilin kilon verran. Tai sitten stressi alkaa liueta Suomenlahteen.,
2012-01-24,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"En punninnut tänään, koska huomasin saaneeni vitsailevia kommentteja painostani. Kävin uimassa mutta saunassa vetäydyin nurkkaan häpeillen mahaani.",
2012-01-26,16,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,79.2,,,,,,Jooga.,
2012-01-26,21,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,"Juha, mun sapluuna on seuraava. Eka suoriltaan lyhyt dippi. Sitten kevyt sauna ja vähän pidempi. Ja sitten pidempi sauna ja päälle pisin uinti. (10sek). Sitten suihku ja pyörän selkään.",
2012-01-27,15,Yoga,,,01:05:00,,,,01:05:00,,,,,3.0,,,,,,,,,,,,,,instituuttijooga. vähän liian pienet housut päällä.,
2012-01-28,20,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Avantoon kuorotreenien päätteeksi.,
2012-01-29,22,Running,,,00:30:00,,,,00:30:00,,,5.5,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Eka juoksulenkki pitkään aikaan. Hyvin kulki, vedin yli 5min/km, tantraa siis.",
2012-01-29,9,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Aamu-uintia ennen kuorotreenipäivää. Raikasta,
2012-02-01,10,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,olipa ankean jäykkää. ,
2012-02-01,22,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,78,,,,,,"-20. Pari reisua kroolia avannossa

<iframe width='500 height='375 frameborder='0' src='http://www.muuankarski.org/kuvia/Kuva0552.jpg'></iframe>",
2012-02-03,15,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Oma harjoitus instituutin kellarissa. Työn ja kuntoilun yhteensovittamista.,
2012-02-04,11,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,aamupäivän sukellus ennen lauantain työpäivää,
2012-02-04,21,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,"Piti käydä lenkki juoksemassa ennen uintia, mutta lenkkarit oli unohtunut. Siksi saunoin vähän pitempään. Palautusjuoman jätin juomatta rangaistukseksi huolimattomuudesta.",
2012-02-05,19,Running,,,00:58:30,,,,00:58:30,,,11.56,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Kovat pyssyt ovat takoneet jo sellaisia määriä että piti ittekin käydä kokeilemassa josko sitä ois aika aloittaa ""perinteinen"" harjoittelu. Ei tuo hääviä hommaa oo juosta hangessa ja kengätkin lipsui. Mutta jalka ei tullut kipeeksi, eikä olkapääkään vaivannut. Onnistunut testi siis.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/147494923'></iframe>",
2012-02-07,19,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,79,,,,,,Pari kiekkaa päivän päätteeksi.,
2012-02-08,12,Yoga,,,01:00:00,,,,01:00:00,,,,,3.0,,,,,,,,,,,,,,"Ei todellakaan joogassa, vaan vapaamatkustajana step up dancersin pilates-treenissä. Tehtiin aika paljon rullalla hyviä juttuja. Kun joogan alle laitoin niiin niitä voisi verrata keskenään kuten suksien voitelua ja varsinaista hiihtoa. Saattaahan siinä huonokuntoselle tuli hiki pitovoidettakin levittäessä.
Näin Marco Bjurströmin.",
2012-02-08,20,Running,,,00:51:00,,,,00:51:00,,,10.6,,3.0,,,,,,,,,,,,Brooks lenkkarit,,"Saunalenkki Katajanokalta. Pakkasta oli 16 ja kylymä Eestin tuuli, mutta sipsuttelin sen mitä viittin. Pikkusen reippaammin juoksin ja heti tuntui pohkeissa. Jalka vähän varoitteli alussa, muttei loppua kohti. Kyllähän tuota näemmä osaa tehdä.

<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/148154659'></iframe>",
2012-02-08,21,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,77.3,,,,,,Lenkin päätteeksi pari kylpyä. Suoraan lenkiltä kun käveli tuuliselle laiturille huomasi että lounaasta oli vierähtänyt seittemän tuntia. (huomaa paino),
2012-02-10,17,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"Kovin treenipäivä pitkään aikaan. Alkoi eka sprintillä ratikkaan (1), mäkelänrinteeltä juoksu pasilan asemalle. Sitten jääkylmällä junalla turkuun ja juoksu kupittaan asemalta pubiin. 5 tuntia nonstop-opetusta ja juoksu (täysiä) takaisin juna-asemalle. tässä vaiheessa aamupala, juustoreissari. Sitten fillarilla joogaan ja sieltä fillarilla punavuoreen, mistä taas takas keskustan kautta kotiin. Jooga oli hyvä, juoksu taas vähän tukkosta.",
2012-02-12,19,cross-country skiing,,,01:38:00,,,,01:38:00,,,23.9,,3.0,,,,,,,9.00,,,,,xc-ski - classic,,"Kauden avaus. Reipas pertsa parin vuoden takaisin voitein. Hyvin pelas suksi. Huippupari on huippupari.

lisätty gepsi. Otti taas vähän myöhässä yhteyden satelliittiin. Tää on tietty joku kuntoilijoiden malli.


<iframe width='465' height='548' frameborder='0' src='http://connect.garmin.com:80/activity/embed/149144121'></iframe>",
2012-02-13,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Pari päivää taukoa. Uintikunto oli tallella.,
2012-02-14,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,"Kolme kiekkaa uudella lumella

Nivuset tulessa sunnuntain hiihdosta.",
2012-02-15,,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,,,Perusharjoitus Annakadulla työpäivän keskellä. Kaduilla on taas työmiehen keli ajaa fillarilla.,
2012-02-17,15,Yoga,,,01:05:00,,,,01:05:00,,,,,3.0,,,,,,,,,,,,,,duunijooga. ihan ook harjoitus. aika rankka viikko ollut ja vielä jatkuu. jos huomenna hiihtämään.,
2012-02-18,12,cross-country skiing,,,02:53:10,,,,,02:53:10,,38.008,425.0,4.0,,,,,,,,,,,,xc-ski - classic,,"vähän pidempi retkihiihtely ympäri pääkaupunkiseutua. Siisti reitti, alkumatkasta joutu vähän hiihtää koirankusetuspolkuja, samoin stadionin liepeillä. Vikat kaks kilsaa juosten hesarin ja sturenkadun vartta.

Pöperölumessa pari vuotta vanha pitoteippi ei pelannut. Jääty ja luisto oli heikko. Pitää raapia se veke ja ostaa purkki luupäätä. Tasasella ei oikein kulje kun pitäisi olla käsivoimia. Niitä ei ole kun kahteen peräkkäiseen tasatyöntöön.",
2012-02-19,,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,,
2012-02-20,18,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Joogaa annankadulla. hyvä notkeus. hiihtoväsy hävinnyt.,
2012-02-21,8,Yoga,,,00:55:00,,,,00:55:00,,,,,3.0,,,,,,,,,,,,,,Lyhennetty aamujooga töissä. Paska loskakeli. Ei juoksemiseen saati hiihtämiseen. Pyöräilä onneksi voi ja avantouida.,
2012-02-23,,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,,,Aamujooga salilla. Eilinen 15 tunnin työpäivä tuntui kintereissä. Kovvoo hommoo.,
2012-02-24,,Yoga,,,00:58:00,,,,00:58:00,,,,,3.0,,,,,,,,,,,,,,todella ripeästi tehty koko sarja. hyvin lähtee jo.,
2012-02-25,19,Running,,,00:45:00,,,,00:45:00,,,8.0,,3.0,,,,,,,,76.8,,,,Brooks lenkkarit,,saunalenkki. ihan voimat pois. pitäis olla vähemmän töissä ja enemmän sängyssä. Ja avanto päälle. huomenna ladulle!,
2012-02-26,14,cross-country skiing,,,01:26:50,,,,,01:26:50,,21.49,236.0,4.0,,,,,,,,,,,,xc-ski - classic,,"Heikosti kulki alkuun. Vanha pitoteippi jääty sadan metrin jälkeen. Loppua kohden liukastui, mutta olin jo päättänyt jättää leikin kesken. Yks 1,5 kilsan lenkki jäi kellottamatta. Lisäsin kokonaisaikaan ja matkaan. Nyt on pakko voidella nämä ja lopettaa kitinä.",
2012-02-28,18,Yoga,,,01:15:00,,,,01:15:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,Iltajooga 3. linjalla. hemmetin hyvä harjoitus. hyvä lämmöt päälle lumisohjossa rällätessä.,
2012-02-29,9,winter swimming,,,00:00:01,,,,00:00:01,,,,,3.0,,,,,,,,,,,,,,Aamu-uinti ennen töitä. On raikasta.,
2012-03-01,18,Yoga,,,01:10:00,,,,01:10:00,,,,,3.0,,,,,,,,,,,,barefoot - avojaloin,,"kova harjoitus. tanssitreenit päälle. vahva olo, tanssi oli horjuvaa.",
2012-03-03,17,cross-country skiing,,,01:06:57,,,,01:06:57,,,17.424,148.0,3.0,,,,,,,,,,,,xc-ski - classic,,"no, sukset oli putsattu ja voitelin rexin sinisellä ja startin tervalla 0- -3. Vedin ohuelti ja vähän lyhyemmästi kun kyllästytti tökkiminen. No, ei pitänyt yhdelläkään potkulla koko reissulla. Luistoa kyllä oli.  Käsistä kun loppui voimat niin vaidoin vastasissa siitospotkulle. <http://www.hevoskuuri.fi/hiihto/2165-pauli-siitonen-kesti-kauan-ennen-kuin-ymmaersin-voittaneeni> Alussa ja lopussa kilsa koirankusetuspolun penkkaa. Reilun vkon päästä pääsis uuteen kämppään tuohon ladun varteen. Ois vielä kelejä huhtikuulle niin tulis kilsoja.

Huomenna paremmalla tällillä paloheinään.",
2012-03-03,16,Running,,,00:10:00,,,,00:10:00,,,2.0,,3.0,,,,,,,,,,,,Merrel gore,,Juoksut ladun varteen.,
